name,review_count,categories,latitude,longitude,rating,price,neighbourhood,city,address
Vento's Pizza,23,"Pizza,Salad,Sandwiches",40.4644137,-79.9232604,3.5,$,Shadyside,Pittsburgh,"420 N Highland Ave,Pittsburgh, PA 15206"
Cold Stone Creamery,52,"Ice Cream & Frozen Yogurt,Custom Cakes,Cupcakes",40.4379424291108,-79.9228303769937,3.0,$$,Shadyside,Pittsburgh,"5800 Forbes Ave,Pittsburgh, PA 15217"
Sciulli's Pizza,22,Pizza,40.4391174316406,-79.9617919921875,4.5,$,Shadyside,Pittsburgh,"3404 5th Ave,Pittsburgh, PA 15213"
Potenza Pizza and Pasta,36,"Pizza,Italian",40.4527897,-79.9494723,3.0,$$,Shadyside,Pittsburgh,"4709 Centre Ave,Pittsburgh, PA 15213"
Park Pizza & Cream,37,"Pizza,Ice Cream & Frozen Yogurt,Italian",40.4395294943107,-79.8974228916703,4.0,$,Shadyside,Pittsburgh,"7600 Forbes Ave,Pittsburgh, PA 15221"
Cup ka Joe,40,"Coffee & Tea,Juice Bars & Smoothies,Ice Cream & Frozen Yogurt",40.4264037219342,-79.9672912202002,4.0,$,Shadyside,Pittsburgh,"31 27th St,Pittsburgh, PA 15203"
Excuses Bar & Grill,38,"Bars,American (Traditional)",40.4272575378418,-79.96875,4.0,$,Shadyside,Pittsburgh,"2526 E Carson St,Pittsburgh, PA 15203"
Nellie's Sandwiches & Deli,46,"Sandwiches,Middle Eastern,Delis",40.44098,-79.95903,3.5,$,Shadyside,Pittsburgh,"3524 5th Ave,Pittsburgh, PA 15213"
Jimmy John's,32,"Fast Food,Delis,Sandwiches",40.4572666173401,-79.9158371661316,3.0,$,Shadyside,Pittsburgh,"6425 Penn Ave,Pittsburgh, PA 15206"
HLane Coffee & Dry Goods,14,"Coffee & Tea,Sewing & Alterations",40.4216865415499,-79.8863030970097,5.0,$,Shadyside,Swissvale,"2009 Noble St,Swissvale, PA 15218"
Mesa,21,"New Mexican Cuisine,Breakfast & Brunch",40.4425967877635,-79.952866769195,4.0,$,Shadyside,Pittsburgh,"221 Schenley Dr,Pittsburgh, PA 15213"
Jekyl & Hyde,49,"Dive Bars,Karaoke",40.42659,-79.98099,4.0,$,Shadyside,Pittsburgh,"140 S 18th St,Pittsburgh, PA 15203"
Bella Christie and Lil' Z's Sweet Boutique,34,"Bakeries,Desserts,Cupcakes",40.490432,-79.904529,4.0,$$,Shadyside,Aspinwall,"213 Commercial Ave,Aspinwall, PA 15215"
Tina's,12,Bars,40.46515,-79.95476,4.5,$$,Shadyside,Pittsburgh,"4114 Main St,Pittsburgh, PA 15224"
Pita Pit,58,"Mediterranean,Sandwiches,Fast Food",40.426647,-79.965902,3.5,$,Shadyside,Pittsburgh,"2763 East Carson St,Pittsburgh, PA 15203"
North Park Lounge Lawrenceville,27,Lounges,40.47464,-79.95801,4.0,$,Shadyside,Pittsburgh,"4717 Butler St,Pittsburgh, PA 15201"
Asia Tea House,61,"Chinese,Bubble Tea",40.4427240453859,-79.9528134936706,3.0,$,Shadyside,Pittsburgh,"4230 Forbes Ave,Pittsburgh, PA 15213"
Forbes Gyro,65,"Middle Eastern,Turkish,Pizza",40.441463,-79.957451,3.5,$,Shadyside,Pittsburgh,"3715 Forbes Ave,Pittsburgh, PA 15213"
